backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,adversarial,23131242,1,Trunc bitonic end-to-end time (ms),21.899,Trunc bitonic end-to-end time (ms),21.899,Trunc bitonic algorithmic time (ms),21.899,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,sorted,23131241,1,Trunc bitonic end-to-end time (ms),21.992,Trunc bitonic end-to-end time (ms),21.992,Trunc bitonic algorithmic time (ms),21.992,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,sorted,23131242,1,Trunc bitonic end-to-end time (ms),21.929,Trunc bitonic end-to-end time (ms),21.929,Trunc bitonic algorithmic time (ms),21.929,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,reverse,23131241,1,Trunc bitonic end-to-end time (ms),21.965,Trunc bitonic end-to-end time (ms),21.965,Trunc bitonic algorithmic time (ms),21.965,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,reverse,23131242,1,Trunc bitonic end-to-end time (ms),21.955,Trunc bitonic end-to-end time (ms),21.955,Trunc bitonic algorithmic time (ms),21.955,232259584,exact,720175104,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,uniform,24000180,1,Trunc bitonic end-to-end time (ms),9.941,Trunc bitonic end-to-end time (ms),9.941,Trunc bitonic algorithmic time (ms),9.941,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,uniform,24000181,1,Trunc bitonic end-to-end time (ms),9.929,Trunc bitonic end-to-end time (ms),9.929,Trunc bitonic algorithmic time (ms),9.929,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,trimodal,24000180,1,Trunc bitonic end-to-end time (ms),9.817,Trunc bitonic end-to-end time (ms),9.817,Trunc bitonic algorithmic time (ms),9.817,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,trimodal,24000181,1,Trunc bitonic end-to-end time (ms),9.631,Trunc bitonic end-to-end time (ms),9.631,Trunc bitonic algorithmic time (ms),9.631,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,adversarial,24000180,1,Trunc bitonic end-to-end time (ms),9.671,Trunc bitonic end-to-end time (ms),9.671,Trunc bitonic algorithmic time (ms),9.671,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,adversarial,24000181,1,Trunc bitonic end-to-end time (ms),9.911,Trunc bitonic end-to-end time (ms),9.911,Trunc bitonic algorithmic time (ms),9.911,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,sorted,24000180,1,Trunc bitonic end-to-end time (ms),9.851,Trunc bitonic end-to-end time (ms),9.851,Trunc bitonic algorithmic time (ms),9.851,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,sorted,24000181,1,Trunc bitonic end-to-end time (ms),9.839,Trunc bitonic end-to-end time (ms),9.839,Trunc bitonic algorithmic time (ms),9.839,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,reverse,24000180,1,Trunc bitonic end-to-end time (ms),9.832,Trunc bitonic end-to-end time (ms),9.832,Trunc bitonic algorithmic time (ms),9.832,469761888,exact,92274668,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,reverse,24000181,1,Trunc bitonic end-to-end time (ms),9.84,Trunc bitonic end-to-end time (ms),9.84,Trunc bitonic algorithmic time (ms),9.84,469761888,exact,92274668,exact
cpu,q24_k131072_max,PASS,ok,float,bitonic,max,131072,16777216,uniform,24131244,1,Trunc bitonic end-to-end time (ms),44.441,Trunc bitonic end-to-end time (ms),44.441,Trunc bitonic algorithmic time (ms),44.441,467140608,exact,1441595392,exact
