backend,case_name,status,reason,dtype,algorithm,mode,k,n,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q12_k8_max,PASS,ok,double,map_reduce,max,8,4096,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,32896,exact,4096,lower-bound
cpu,q12_k256_max,PASS,ok,double,map_reduce,max,256,4096,Map-reduce top-k end-to-end time (ms),0.051,Map-reduce top-k end-to-end time (ms),0.051,Map-reduce top-k algorithmic time (ms),0.051,36864,exact,4096,lower-bound
cpu,q12_k4096_max,PASS,ok,double,map_reduce,max,4096,4096,Map-reduce top-k end-to-end time (ms),0.118,Map-reduce top-k end-to-end time (ms),0.118,Map-reduce top-k algorithmic time (ms),0.118,98304,exact,4096,lower-bound
cpu,q13_k8_max,PASS,ok,double,map_reduce,max,8,8192,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,65664,exact,8192,lower-bound
cpu,q13_k256_max,PASS,ok,double,map_reduce,max,256,8192,Map-reduce top-k end-to-end time (ms),0.063,Map-reduce top-k end-to-end time (ms),0.063,Map-reduce top-k algorithmic time (ms),0.063,69632,exact,8192,lower-bound
cpu,q13_k4096_max,PASS,ok,double,map_reduce,max,4096,8192,Map-reduce top-k end-to-end time (ms),0.41,Map-reduce top-k end-to-end time (ms),0.41,Map-reduce top-k algorithmic time (ms),0.41,131072,exact,8192,lower-bound
cpu,q14_k8_max,PASS,ok,double,map_reduce,max,8,16384,Map-reduce top-k end-to-end time (ms),0.05,Map-reduce top-k end-to-end time (ms),0.05,Map-reduce top-k algorithmic time (ms),0.05,131200,exact,16384,lower-bound
cpu,q14_k256_max,PASS,ok,double,map_reduce,max,256,16384,Map-reduce top-k end-to-end time (ms),0.067,Map-reduce top-k end-to-end time (ms),0.067,Map-reduce top-k algorithmic time (ms),0.067,135168,exact,16384,lower-bound
cpu,q14_k4096_max,PASS,ok,double,map_reduce,max,4096,16384,Map-reduce top-k end-to-end time (ms),0.678,Map-reduce top-k end-to-end time (ms),0.678,Map-reduce top-k algorithmic time (ms),0.678,196608,exact,16384,lower-bound
cpu,q15_k8_max,PASS,ok,double,map_reduce,max,8,32768,Map-reduce top-k end-to-end time (ms),0.052,Map-reduce top-k end-to-end time (ms),0.052,Map-reduce top-k algorithmic time (ms),0.052,262272,exact,32768,lower-bound
cpu,q15_k256_max,PASS,ok,double,map_reduce,max,256,32768,Map-reduce top-k end-to-end time (ms),0.072,Map-reduce top-k end-to-end time (ms),0.072,Map-reduce top-k algorithmic time (ms),0.072,266240,exact,32768,lower-bound
cpu,q15_k4096_max,PASS,ok,double,map_reduce,max,4096,32768,Map-reduce top-k end-to-end time (ms),0.913,Map-reduce top-k end-to-end time (ms),0.913,Map-reduce top-k algorithmic time (ms),0.913,327680,exact,32768,lower-bound
cpu,q16_k8_max,PASS,ok,double,map_reduce,max,8,65536,Map-reduce top-k end-to-end time (ms),0.057,Map-reduce top-k end-to-end time (ms),0.057,Map-reduce top-k algorithmic time (ms),0.057,524416,exact,65536,lower-bound
cpu,q16_k256_max,PASS,ok,double,map_reduce,max,256,65536,Map-reduce top-k end-to-end time (ms),0.081,Map-reduce top-k end-to-end time (ms),0.081,Map-reduce top-k algorithmic time (ms),0.081,528384,exact,65536,lower-bound
cpu,q16_k4096_max,PASS,ok,double,map_reduce,max,4096,65536,Map-reduce top-k end-to-end time (ms),1.17,Map-reduce top-k end-to-end time (ms),1.17,Map-reduce top-k algorithmic time (ms),1.17,589824,exact,65536,lower-bound
cpu,q17_k8_max,PASS,ok,double,map_reduce,max,8,131072,Map-reduce top-k end-to-end time (ms),0.066,Map-reduce top-k end-to-end time (ms),0.066,Map-reduce top-k algorithmic time (ms),0.066,1048704,exact,131072,lower-bound
cpu,q17_k256_max,PASS,ok,double,map_reduce,max,256,131072,Map-reduce top-k end-to-end time (ms),0.099,Map-reduce top-k end-to-end time (ms),0.099,Map-reduce top-k algorithmic time (ms),0.099,1052672,exact,131072,lower-bound
cpu,q17_k4096_max,PASS,ok,double,map_reduce,max,4096,131072,Map-reduce top-k end-to-end time (ms),1.381,Map-reduce top-k end-to-end time (ms),1.381,Map-reduce top-k algorithmic time (ms),1.381,1114112,exact,131072,lower-bound
cpu,q17_k131072_max,PASS,ok,double,map_reduce,max,131072,131072,Map-reduce top-k end-to-end time (ms),9.606,Map-reduce top-k end-to-end time (ms),9.606,Map-reduce top-k algorithmic time (ms),9.606,3145728,exact,131072,lower-bound
cpu,q18_k8_max,PASS,ok,double,map_reduce,max,8,262144,Map-reduce top-k end-to-end time (ms),0.083,Map-reduce top-k end-to-end time (ms),0.083,Map-reduce top-k algorithmic time (ms),0.083,2097280,exact,262144,lower-bound
cpu,q18_k256_max,PASS,ok,double,map_reduce,max,256,262144,Map-reduce top-k end-to-end time (ms),0.107,Map-reduce top-k end-to-end time (ms),0.107,Map-reduce top-k algorithmic time (ms),0.107,2101248,exact,262144,lower-bound
cpu,q18_k4096_max,PASS,ok,double,map_reduce,max,4096,262144,Map-reduce top-k end-to-end time (ms),1.639,Map-reduce top-k end-to-end time (ms),1.639,Map-reduce top-k algorithmic time (ms),1.639,2162688,exact,262144,lower-bound
