backend,kernel,ops_per_elem,elements,bytes_moved,ops,ms_mean,ms_stdev,ms_min,gbytes_per_s,gops_per_s,operational_intensity,joules_per_iter
npu,cache_read,0,262144,268435456,0,4.586948,0.04917,4.49861,59.6708,0,0,0.037349
npu,cache_read,0,524288,268435456,0,4.629873,0.048246,4.526992,59.2966,0,0,0.041181
npu,cache_read,0,1048576,268435456,0,4.624922,0.05169,4.5467,59.0396,0,0,0.040931
npu,cache_read,0,2097152,268435456,0,4.703098,0.022212,4.668958,57.4937,0,0,0.045882
npu,cache_read,0,4194304,268435456,0,4.925712,0.018203,4.89409,54.8489,0,0,0.049607
npu,cache_read,0,8388608,268435456,0,5.026105,0.022241,4.983627,53.8635,0,0,0.062984
npu,cache_read,0,16777216,268435456,0,5.033826,0.028868,4.991242,53.7813,0,0,0.071699
npu,cache_read,0,33554432,268435456,0,5.053703,0.025091,5.003334,53.6513,0,0,0.071807
npu,cache_read,0,67108864,268435456,0,5.020561,0.021968,4.982335,53.8774,0,0,0.071734
npu,stage_write,0,8192,268435456,0,9.215324,0.027264,9.159553,29.3066,0,0,0.102687
npu,stage_write_sync,0,8192,268435456,0,21.741351,0.102171,21.654368,12.3964,0,0,0.240394
npu,sync_only,0,8192,268435456,0,4.295678,0.691487,3.101344,86.5546,0,0,0.026315
npu,stage_write,0,16384,268435456,0,9.002723,0.040927,8.920054,30.0935,0,0,0.101881
npu,stage_write_sync,0,16384,268435456,0,20.342508,0.032903,20.268004,13.2443,0,0,0.228571
npu,sync_only,0,16384,268435456,0,4.796679,1.36814,3.100864,86.568,0,0,0.027929
npu,stage_write,0,32768,268435456,0,8.885416,0.050852,8.807874,30.4768,0,0,0.102583
npu,stage_write_sync,0,32768,268435456,0,19.707309,0.089935,19.604452,13.6926,0,0,0.229324
npu,sync_only,0,32768,268435456,0,4.222544,1.075155,3.065818,87.5575,0,0,0.026188
npu,stage_write,0,65536,268435456,0,8.857031,0.057125,8.723477,30.7716,0,0,0.103225
npu,stage_write_sync,0,65536,268435456,0,18.87038,0.103529,18.797141,14.2807,0,0,0.221154
npu,sync_only,0,65536,268435456,0,4.566379,1.592338,3.064245,87.6025,0,0,0.027595
npu,stage_write,0,131072,268435456,0,8.077928,0.050076,7.99271,33.585,0,0,0.101093
npu,stage_write_sync,0,131072,268435456,0,17.657585,0.043126,17.57343,15.2751,0,0,0.209446
npu,sync_only,0,131072,268435456,0,3.937367,0.745683,3.070166,87.4335,0,0,0.025719
npu,stage_write,0,262144,268435456,0,7.934545,0.031448,7.839873,34.2398,0,0,0.103304
npu,stage_write_sync,0,262144,268435456,0,16.470701,0.027206,16.407097,16.3609,0,0,0.199708
npu,sync_only,0,262144,268435456,0,4.828709,1.655753,3.101034,86.5632,0,0,0.027752
npu,stage_write,0,524288,268435456,0,7.909771,0.052902,7.80592,34.3887,0,0,0.10353
npu,stage_write_sync,0,524288,268435456,0,15.796276,0.120402,15.597903,17.2097,0,0,0.196583
npu,sync_only,0,524288,268435456,0,3.976141,0.72362,3.087358,86.9467,0,0,0.02577
npu,stage_write,0,1048576,268435456,0,8.382808,0.042696,8.281429,32.4141,0,0,0.108777
npu,stage_write_sync,0,1048576,268435456,0,15.455332,0.164156,15.251165,17.601,0,0,0.190125
npu,sync_only,0,1048576,268435456,0,4.099824,0.508703,3.087508,86.9424,0,0,0.025575
npu,stage_write,0,2097152,268435456,0,10.518195,0.063066,10.433808,25.7275,0,0,0.132659
npu,stage_write_sync,0,2097152,268435456,0,15.547455,0.178657,15.349738,17.488,0,0,0.197187
npu,sync_only,0,2097152,268435456,0,5.370972,1.848387,3.085064,87.0113,0,0,0.029472
npu,stage_write,0,4194304,268435456,0,12.490126,0.034429,12.43862,21.5808,0,0,0.143112
npu,stage_write_sync,0,4194304,268435456,0,15.092743,0.138814,15.020632,17.8711,0,0,0.168372
npu,sync_only,0,4194304,268435456,0,4.409872,1.389665,3.084122,87.0379,0,0,0.026807
npu,stage_write,0,8388608,268435456,0,12.518257,0.026024,12.466442,21.5326,0,0,0.142789
npu,stage_write_sync,0,8388608,268435456,0,15.098006,0.035846,15.050659,17.8355,0,0,0.165621
npu,sync_only,0,8388608,268435456,0,4.167535,1.006744,3.084193,87.0359,0,0,0.026245
npu,stage_write,0,16777216,268435456,0,12.521196,0.030145,12.48098,21.5076,0,0,0.143122
npu,stage_write_sync,0,16777216,268435456,0,15.080269,0.033559,15.036673,17.8521,0,0,0.165439
npu,sync_only,0,16777216,268435456,0,5.544798,1.925267,3.088971,86.9013,0,0,0.029764
npu,stage_write,0,33554432,268435456,0,12.56539,0.13784,12.4861,21.4987,0,0,0.145242
npu,stage_write_sync,0,33554432,268435456,0,15.069133,0.071347,14.984465,17.9143,0,0,0.165969
npu,sync_only,0,33554432,268435456,0,5.380159,1.851883,3.100764,86.5707,0,0,0.029333
npu,stage_write,0,67108864,268435456,0,12.422024,0.03766,12.369221,21.7019,0,0,0.140765
npu,stage_write_sync,0,67108864,268435456,0,14.967583,0.027132,14.91717,17.9951,0,0,0.163557
npu,sync_only,0,67108864,268435456,0,4.093899,0.89619,3.070827,87.4147,0,0,0.026153
