backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q17_k256_max,PASS,ok,float,map_reduce,max,256,131072,uniform,17000407,1,Map-reduce top-k end-to-end time (ms),0.11,Map-reduce top-k end-to-end time (ms),0.11,Map-reduce top-k algorithmic time (ms),0.11,526336,exact,131072,lower-bound
cpu,q17_k4096_max,PASS,ok,float,map_reduce,max,4096,131072,uniform,17004247,1,Map-reduce top-k end-to-end time (ms),1.519,Map-reduce top-k end-to-end time (ms),1.519,Map-reduce top-k algorithmic time (ms),1.519,557056,exact,131072,lower-bound
cpu,q17_k131072_max,PASS,ok,float,map_reduce,max,131072,131072,uniform,17131223,1,Map-reduce top-k end-to-end time (ms),10.051,Map-reduce top-k end-to-end time (ms),10.051,Map-reduce top-k algorithmic time (ms),10.051,1572864,exact,131072,lower-bound
cpu,q18_k8_max,PASS,ok,float,map_reduce,max,8,262144,uniform,18000162,1,Map-reduce top-k end-to-end time (ms),0.082,Map-reduce top-k end-to-end time (ms),0.082,Map-reduce top-k algorithmic time (ms),0.082,1048640,exact,262144,lower-bound
cpu,q18_k256_max,PASS,ok,float,map_reduce,max,256,262144,uniform,18000410,1,Map-reduce top-k end-to-end time (ms),0.114,Map-reduce top-k end-to-end time (ms),0.114,Map-reduce top-k algorithmic time (ms),0.114,1050624,exact,262144,lower-bound
cpu,q18_k4096_max,PASS,ok,float,map_reduce,max,4096,262144,uniform,18004250,1,Map-reduce top-k end-to-end time (ms),1.67,Map-reduce top-k end-to-end time (ms),1.67,Map-reduce top-k algorithmic time (ms),1.67,1081344,exact,262144,lower-bound
cpu,q18_k131072_max,PASS,ok,float,map_reduce,max,131072,262144,uniform,18131226,1,Map-reduce top-k end-to-end time (ms),19.648,Map-reduce top-k end-to-end time (ms),19.648,Map-reduce top-k algorithmic time (ms),19.648,2097152,exact,262144,lower-bound
cpu,q19_k8_max,PASS,ok,float,map_reduce,max,8,524288,uniform,19000165,1,Map-reduce top-k end-to-end time (ms),0.098,Map-reduce top-k end-to-end time (ms),0.098,Map-reduce top-k algorithmic time (ms),0.098,2097216,exact,524288,lower-bound
cpu,q19_k256_max,PASS,ok,float,map_reduce,max,256,524288,uniform,19000413,1,Map-reduce top-k end-to-end time (ms),0.13,Map-reduce top-k end-to-end time (ms),0.13,Map-reduce top-k algorithmic time (ms),0.13,2099200,exact,524288,lower-bound
cpu,q19_k4096_max,PASS,ok,float,map_reduce,max,4096,524288,uniform,19004253,1,Map-reduce top-k end-to-end time (ms),1.966,Map-reduce top-k end-to-end time (ms),1.966,Map-reduce top-k algorithmic time (ms),1.966,2129920,exact,524288,lower-bound
cpu,q19_k131072_max,PASS,ok,float,map_reduce,max,131072,524288,uniform,19131229,1,Map-reduce top-k end-to-end time (ms),30.746,Map-reduce top-k end-to-end time (ms),30.746,Map-reduce top-k algorithmic time (ms),30.746,3145728,exact,524288,lower-bound
cpu,q20_k8_max,PASS,ok,float,map_reduce,max,8,1048576,uniform,20000168,1,Map-reduce top-k end-to-end time (ms),0.115,Map-reduce top-k end-to-end time (ms),0.115,Map-reduce top-k algorithmic time (ms),0.115,4194368,exact,1048576,lower-bound
cpu,q20_k256_max,PASS,ok,float,map_reduce,max,256,1048576,uniform,20000416,1,Map-reduce top-k end-to-end time (ms),0.163,Map-reduce top-k end-to-end time (ms),0.163,Map-reduce top-k algorithmic time (ms),0.163,4196352,exact,1048576,lower-bound
cpu,q20_k4096_max,PASS,ok,float,map_reduce,max,4096,1048576,uniform,20004256,1,Map-reduce top-k end-to-end time (ms),2.198,Map-reduce top-k end-to-end time (ms),2.198,Map-reduce top-k algorithmic time (ms),2.198,4227072,exact,1048576,lower-bound
cpu,q20_k131072_max,PASS,ok,float,map_reduce,max,131072,1048576,uniform,20131232,1,Map-reduce top-k end-to-end time (ms),41.72,Map-reduce top-k end-to-end time (ms),41.72,Map-reduce top-k algorithmic time (ms),41.72,5242880,exact,1048576,lower-bound
cpu,q21_k8_max,PASS,ok,float,map_reduce,max,8,2097152,uniform,21000171,1,Map-reduce top-k end-to-end time (ms),0.133,Map-reduce top-k end-to-end time (ms),0.133,Map-reduce top-k algorithmic time (ms),0.133,8388736,exact,2097152,lower-bound
cpu,q21_k256_max,PASS,ok,float,map_reduce,max,256,2097152,uniform,21000419,1,Map-reduce top-k end-to-end time (ms),0.295,Map-reduce top-k end-to-end time (ms),0.295,Map-reduce top-k algorithmic time (ms),0.295,8392704,exact,2097152,lower-bound
cpu,q21_k4096_max,PASS,ok,float,map_reduce,max,4096,2097152,uniform,21004259,1,Map-reduce top-k end-to-end time (ms),3.355,Map-reduce top-k end-to-end time (ms),3.355,Map-reduce top-k algorithmic time (ms),3.355,8454144,exact,2097152,lower-bound
