source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,float,bitonic,max,131072,1048576,uniform,20131232,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k131072_max_uniform_s20131232_rep1_rapl.txt,0.216369,5.782355,26.724459,5.421215,4.60937,21.303244,0,rapl:package+core,4.225993,4.225993,0.140853,0.140853,3.46239860361,3.46239860361,4.78703,0.154413,0.631513,0.62273,,,,0.040593
rapl,cpu,float,bitonic,max,131072,1048576,uniform,20131232,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k131072_max_uniform_s20131232_rep2_rapl.txt,0.216264,5.772392,26.691413,5.421215,4.599978,21.270198,0,rapl:package+core,4.256846,4.256846,0.140364,0.140364,3.49590257774,3.49590257774,4.769758,0.15438,0.663235,0.654456,,,,0.040593
rapl,cpu,float,bitonic,max,131072,1048576,uniform,20131232,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k131072_max_uniform_s20131232_rep3_rapl.txt,0.22696,5.964794,26.281263,5.421215,4.734395,20.860048,0,rapl:package+core,4.371739,4.371739,0.150393,0.150393,3.5564262125,3.5564262125,4.922948,0.164939,0.604827,0.595614,,,,0.040593
rapl,cpu,float,bitonic,max,256,1048576,uniform,20000416,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k256_max_uniform_s20000416_rep1_rapl.txt,0.067667,1.854778,27.410278,5.421215,1.487939,21.989063,0,rapl:package+core,1.265897,1.265897,0.041104,0.041104,1.04306337864,1.04306337864,1.587824,0.048534,0.19846,0.195713,,,,0.040593
rapl,cpu,float,bitonic,max,256,1048576,uniform,20000416,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k256_max_uniform_s20000416_rep2_rapl.txt,0.067971,1.854396,27.282359,5.421215,1.485913,21.861144,0,rapl:package+core,1.171691,1.171691,0.041185,0.041185,0.948418260225,0.948418260225,1.529554,0.048602,0.197271,0.194512,,,,0.040593
rapl,cpu,float,bitonic,max,256,1048576,uniform,20000416,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k256_max_uniform_s20000416_rep3_rapl.txt,0.068456,1.872965,27.359965,5.421215,1.501848,21.93875,0,rapl:package+core,1.325217,1.325217,0.041447,0.041447,1.1005239019,1.1005239019,1.569315,0.049292,0.197194,0.194415,,,,0.040593
rapl,cpu,float,bitonic,max,4096,1048576,uniform,20004256,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k4096_max_uniform_s20004256_rep1_rapl.txt,0.101678,2.918093,28.699385,5.421215,2.366875,23.27817,0,rapl:package+core,2.325181,2.325181,0.071157,0.071157,1.93942360425,1.93942360425,2.521919,0.079059,0.322813,0.318686,,,,0.040593
rapl,cpu,float,bitonic,max,4096,1048576,uniform,20004256,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k4096_max_uniform_s20004256_rep2_rapl.txt,0.098864,2.838156,28.707587,5.421215,2.302191,23.286372,0,rapl:package+core,2.261219,2.261219,0.069418,0.069418,1.88488909713,1.88488909713,2.458537,0.076632,0.316298,0.312285,,,,0.040593
rapl,cpu,float,bitonic,max,4096,1048576,uniform,20004256,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k4096_max_uniform_s20004256_rep3_rapl.txt,0.100816,2.890506,28.670965,5.421215,2.343958,23.24975,0,rapl:package+core,2.3537,2.3537,0.070622,0.070622,1.97084295427,1.97084295427,2.526069,0.078152,0.347302,0.34321,,,,0.040593
rapl,cpu,float,bitonic,max,8,1048576,uniform,20000168,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k8_max_uniform_s20000168_rep1_rapl.txt,0.033796,0.655804,19.405014,5.421215,0.472591,13.983799,0,rapl:package+core,0.234836,0.234836,0.011198,0.011198,0.17412923443,0.17412923443,0.459525,0.018245,0.058149,0.056777,,,,0.040593
